,ID,PROJECT_NAME,NAME,DURATION,CREATED,STARTED_BY,PASSED,FAILED,SKIPPED,BROKEN
42,10843,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #240,9.6846,2023-04-24 16:49:14,system,26,4,1,2
43,10839,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #239,8.95055,2023-04-24 16:04:40,system,27,4,1,0
44,10834,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #21,52.42985,2023-04-24 13:13:58,system,152,43,17,2
45,10833,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #238,179.65006666666667,2023-04-24 12:58:55,system,27,6,3,0
46,10832,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #237,6.748883333333334,2023-04-24 12:10:03,system,30,2,1,0
47,10822,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #236,6.8364,2023-04-24 10:12:18,system,27,4,1,0
48,10811,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #20,46.13851666666667,2023-04-24 03:33:34,system,146,29,24,12
49,10810,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #235,8.413433333333334,2023-04-24 03:24:27,system,28,4,1,0
50,10808,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Analytics Tests #test #21,21.654816666666665,2023-04-24 03:01:58,system,53,15,20,2
51,10801,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #19,51.67733333333333,2023-04-23 03:37:42,system,147,38,24,2
52,10800,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #234,8.203133333333334,2023-04-23 03:28:43,system,25,6,1,0
53,10798,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Analytics Tests #test #20,26.09685,2023-04-23 03:01:53,system,52,17,20,1
54,10792,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #18,43.323049999999995,2023-04-22 03:35:19,system,159,26,24,2
55,10791,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #233,10.193883333333334,2023-04-22 03:24:27,system,26,6,1,0
56,10789,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Analytics Tests #test #19,21.63971666666667,2023-04-22 03:02:01,system,55,12,20,3
57,10787,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #17,22.75336666666667,2023-04-21 23:02:46,system,87,14,21,1
58,10786,Customers: Web,KazanExpress/ke-auto-tests - Run Customers UAT Tests #test #232,21.117733333333334,2023-04-21 12:14:33,system,28,7,2,0
59,10781,Customers: Web,KazanExpress/ke-auto-tests - Run Customers Regress and Mobile Tests #test #16,50.61273333333334,2023-04-21 03:33:29,system,151,34,24,2
60,10875,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #863,12.527283333333333,2023-04-25 07:31:51,system,114,44,0,1
61,10816,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #862,13.438966666666666,2023-04-24 07:32:19,system,110,47,0,1
62,10805,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #861,15.099283333333334,2023-04-23 07:31:54,system,110,48,0,1
63,10796,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #860,12.716800000000001,2023-04-22 07:31:55,system,113,45,0,1
64,10785,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #859,12.898133333333334,2023-04-21 07:32:09,system,112,46,0,1
65,10721,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #858,11.998483333333333,2023-04-20 07:32:11,system,113,45,0,1
66,10665,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #857,18.176883333333333,2023-04-19 07:32:13,system,104,53,0,1
67,10620,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #856,18.190083333333334,2023-04-18 07:31:53,system,109,48,0,2
68,10607,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #855,18.956666666666667,2023-04-17 17:00:19,system,104,54,0,1
69,10574,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #854,15.668166666666668,2023-04-17 12:09:20,system,101,57,0,1
70,10559,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #853,19.833633333333335,2023-04-17 07:32:14,system,84,74,0,1
71,10542,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #852,18.68715,2023-04-16 07:31:30,system,88,70,0,1
72,10532,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #851,20.127299999999998,2023-04-15 07:31:30,system,86,71,0,2
73,10471,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #850,19.361416666666667,2023-04-14 07:31:53,system,91,67,0,1
74,10392,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #849,19.85755,2023-04-13 07:32:01,system,86,72,0,1
75,10371,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #848,20.380850000000002,2023-04-12 17:49:00,system,91,66,0,1
76,10330,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #847,23.302866666666667,2023-04-12 07:31:51,system,75,89,0,1
77,10288,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #846,29.859133333333332,2023-04-11 07:32:03,system,9,151,0,5
78,10228,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #845,20.416800000000002,2023-04-10 07:35:26,system,74,89,0,2
79,10216,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #844,22.775016666666666,2023-04-09 07:31:29,system,77,88,0,0
80,10195,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #843,21.845233333333333,2023-04-08 07:31:55,system,73,90,0,2
81,10141,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #842,22.501050000000003,2023-04-07 07:31:51,system,73,91,0,1
82,10101,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #840,19.945433333333334,2023-04-06 07:31:55,system,76,87,0,2
83,10062,WMS: Web,KazanExpress/ke-auto-tests - Run WMS Tests #test #839,21.390083333333333,2023-04-05 07:32:13,system,73,91,0,1
